iter	Passed	Remaining
0	1	122
1	2	107
2	3	100
3	3	94
4	4	92
5	6	94
6	7	97
7	8	96
8	10	101
9	11	101
10	12	98
11	13	97
12	14	95
13	15	94
14	16	93
15	17	91
16	18	90
17	19	88
18	20	87
19	21	86
20	22	85
21	24	85
22	25	84
23	26	83
24	27	81
25	28	80
26	29	78
27	30	77
28	31	76
29	32	75
30	33	73
31	34	72
32	35	71
33	36	71
34	37	69
35	38	68
36	39	67
37	40	66
38	42	65
39	43	64
40	44	63
41	44	61
42	45	60
43	46	59
44	47	58
45	48	57
46	49	56
47	50	55
48	51	54
49	53	53
50	54	52
51	55	50
52	56	49
53	57	48
54	58	47
55	58	46
56	60	45
57	61	44
58	63	44
59	65	43
60	66	42
61	68	41
62	69	40
63	71	40
64	72	39
65	73	38
66	75	36
67	76	35
68	77	34
69	78	33
70	79	32
71	80	31
72	81	30
73	83	29
74	84	28
75	85	26
76	86	25
77	87	24
78	88	23
79	89	22
80	90	21
81	91	20
82	92	18
83	93	17
84	94	16
85	95	15
86	97	14
87	98	13
88	99	12
89	100	11
90	101	10
91	102	8
92	103	7
93	104	6
94	105	5
95	106	4
96	107	3
97	108	2
98	109	1
99	110	0
