iter	Passed	Remaining
0	2	2614
1	4	2079
2	5	1822
3	6	1682
4	9	1970
5	12	2009
6	13	1908
7	14	1830
8	16	1802
9	17	1769
10	19	1758
11	21	1731
12	24	1841
13	26	1899
14	28	1872
15	29	1840
16	31	1809
17	32	1784
18	33	1754
19	35	1732
20	38	1778
21	40	1779
22	42	1805
23	45	1830
24	46	1815
25	47	1790
26	48	1762
27	50	1741
28	53	1780
29	55	1781
30	56	1763
31	57	1743
32	58	1726
33	60	1709
34	61	1693
35	62	1683
36	64	1666
37	66	1679
38	68	1694
39	70	1695
40	71	1681
41	73	1667
42	74	1653
43	75	1642
44	76	1630
45	78	1622
46	80	1637
47	83	1652
48	84	1644
49	85	1633
50	87	1626
51	88	1617
52	90	1609
53	91	1600
54	92	1591
55	96	1633
56	100	1661
57	101	1652
58	103	1645
59	104	1638
60	105	1628
61	108	1639
62	110	1647
63	112	1641
64	113	1632
65	114	1623
66	115	1613
67	117	1605
68	118	1596
69	119	1589
70	124	1624
71	126	1624
72	127	1620
73	128	1612
74	130	1606
75	131	1600
76	132	1592
77	134	1584
78	135	1578
79	137	1583
80	139	1587
81	141	1580
82	141	1566
83	143	1559
84	144	1552
85	145	1545
86	146	1539
87	148	1535
88	149	1530
89	152	1538
90	154	1541
91	155	1538
92	157	1536
93	158	1531
94	160	1525
95	161	1522
96	163	1517
97	166	1527
98	168	1532
99	169	1528
100	171	1523
101	172	1518
102	173	1515
103	175	1513
104	176	1508
105	179	1516
106	182	1523
107	183	1519
108	185	1519
109	187	1515
110	188	1512
111	190	1507
112	191	1503
113	194	1511
114	197	1517
115	199	1519
116	200	1512
117	201	1508
118	203	1504
119	204	1498
120	205	1493
121	208	1500
122	211	1505
123	213	1511
124	218	1529
125	219	1524
126	220	1517
127	223	1522
128	226	1527
129	229	1536
130	231	1532
131	232	1528
132	234	1526
133	246	1594
134	248	1592
135	258	1640
136	263	1660
137	265	1658
138	273	1693
139	277	1701
140	279	1700
141	280	1692
142	283	1697
143	285	1697
144	291	1717
145	292	1713
146	294	1708
147	298	1719
148	301	1720
149	304	1726
150	306	1724
151	308	1721
152	312	1729
153	316	1740
154	319	1739
155	320	1733
156	321	1726
157	323	1721
158	324	1714
159	326	1716
160	328	1709
161	334	1728
162	335	1723
